Embedding,Classifier,Mean Accuracy,Std Dev
Gemini,Logistic Regression,0.7923076923076924,0.018448819522060005
Gemini,Neural Network,0.7916083916083916,0.021958487367982636
Gemini,SVC (RBF),0.7895104895104895,0.016310354950616238
Gemini,MLP + PCA (95% Var),0.786013986013986,0.02043585901566776
Gemini,MLP + Select (50% Feat),0.7839160839160839,0.017043437212523015
Gemini,SVM (Linear),0.7720279720279721,0.009740131662366518
Nomic,Logistic Regression,0.7706293706293705,0.010277579340349
Nomic,MLP + PCA (95% Var),0.7622377622377623,0.0151604778941809
Nomic,SVC (RBF),0.7552447552447552,0.01450100793939
Nomic,Neural Network,0.7545454545454545,0.0067799718285542
Nomic,MLP + Select (50% Feat),0.7482517482517482,0.0130827181355732
Nomic,SVM (Linear),0.7475524475524475,0.0161597482633445
Gemini,KNN,0.7342657342657344,0.015160477894180997
Gemini,Random Forest,0.7132867132867133,0.037852779308319894
Gemini,XGBoost,0.7125874125874125,0.020673769928803497
Jina-V2,SVC (RBF),0.6916083916083917,0.018154902077968
Nomic,KNN,0.686013986013986,0.0173279883823271
Jina-V2,Neural Network,0.6832167832167831,0.0317855053912266
Jina-V2,MLP + Select (50% Feat),0.6825174825174825,0.0206737699288034
Nomic,Naive Bayes,0.6762237762237763,0.0230451147598378
Nomic,XGBoost,0.672027972027972,0.0123916399627058
Gemini,Deep NN (Keras),0.6643356800079345,0.025310432208122742
Gemini,Naive Bayes,0.6629370629370629,0.04751129440968678
Jina-V2,MLP + PCA (95% Var),0.6594405594405595,0.0228319268773629
Nomic,Random Forest,0.6531468531468532,0.0263887584113471
Jina-V2,Logistic Regression,0.6517482517482518,0.0167832167832167
Jina-V2,XGBoost,0.6426573426573426,0.0149001928340297
CodeRank,Neural Network,0.6398601398601398,0.02144015345000821
RoBERTa,Neural Network,0.6384615384615385,0.0274068782409306
CodeRank,Logistic Regression,0.6363636363636364,0.018235531203364047
RoBERTa,Logistic Regression,0.6356643356643357,0.0222680885707561
Nomic,Deep NN (Keras),0.6328671216964722,0.0073343328555154
CodeRank,MLP + Select (50% Feat),0.6307692307692307,0.03239506243888243
RoBERTa,MLP + Select (50% Feat),0.6286713286713287,0.0262027888044688
Jina-V2,Random Forest,0.627972027972028,0.0235696497151786
RoBERTa,SVC (RBF),0.6209790209790209,0.0293872746705604
CodeRank,MLP + PCA (95% Var),0.6195804195804195,0.020073706425744513
Jina-V2,SVM (Linear),0.6174825174825175,0.0250775119958617
RoBERTa,MLP + PCA (95% Var),0.6146853146853146,0.0273890294091834
Gemini,Gradient Boosting,0.613986013986014,0.02150847062829329
Jina-V2,KNN,0.6083916083916083,0.0123124593438174
RoBERTa,SVM (Linear),0.6020979020979021,0.0358216740555683
Jina-V2,Naive Bayes,0.593006993006993,0.0310067122760774
CodeRank,SVC (RBF),0.5881118881118882,0.012192724317596285
CodeBERT,MLP + Select (50% Feat),0.5804195804195805,0.0220029828287444
Jina-V2,Deep NN (Keras),0.5804195642471314,0.0183691310993144
CodeRank,SVM (Linear),0.5783216783216784,0.01027757934034902
CodeBERT,Neural Network,0.5727272727272728,0.0297839712434221
Nomic,Gradient Boosting,0.5692307692307692,0.0195804195804195
CodeBERT,Logistic Regression,0.5692307692307692,0.0266652810698428
CodeBERT,MLP + PCA (95% Var),0.5566433566433566,0.0355475944815072
RoBERTa,XGBoost,0.555944055944056,0.0318162606044121
CodeBERT,SVM (Linear),0.5545454545454545,0.0140905186570698
CodeRank,XGBoost,0.5517482517482517,0.03774928552801616
RoBERTa,KNN,0.5468531468531468,0.0161899816822241
CodeRank,KNN,0.5384615384615385,0.02735329680504607
RoBERTa,Random Forest,0.5335664335664336,0.019480263324733
Jina-V2,Gradient Boosting,0.5300699300699301,0.0290525567522251
CodeRank,Random Forest,0.5125874125874126,0.023045114759837858
CodeBERT,SVC (RBF),0.4986013986013987,0.0147683301272327
RoBERTa,Gradient Boosting,0.4951048951048952,0.0212798937828013
RoBERTa,Naive Bayes,0.4874125874125874,0.0130077449214952
CodeBERT,XGBoost,0.4839160839160839,0.0174964979065689
CodeRank,Deep NN (Keras),0.47832168340682985,0.019951537810959277
RoBERTa,Deep NN (Keras),0.4769230782985687,0.0140905172793694
CodeRank,Naive Bayes,0.4566433566433566,0.015416369010523503
CodeBERT,Random Forest,0.4356643356643356,0.0197297006708613
CodeBERT,KNN,0.427972027972028,0.0260342803762045
CodeRank,Gradient Boosting,0.42027972027972027,0.036963846954972054
Gemini,Decision Tree,0.4160839160839161,0.025883574158491938
CodeBERT,Gradient Boosting,0.4083916083916084,0.020555158680698
Nomic,Decision Tree,0.3804195804195804,0.0158542434248316
Jina-V2,Decision Tree,0.3461538461538461,0.0151604778941809
CodeBERT,Deep NN (Keras),0.3188811123371124,0.0205551631148962
CodeBERT,Naive Bayes,0.3167832167832168,0.0208152112813107
RoBERTa,Decision Tree,0.3097902097902097,0.0157303802506321
CodeBERT,Decision Tree,0.2629370629370629,0.0051387896701744
CodeRank,Decision Tree,0.25804195804195806,0.030911938608811678
