,precision,recall,f1-score,support
Model Abstraction Pattern,0.46153846153846156,0.375,0.41379310344827586,16.0
Preprocessing Text and Numerical Data,0.4444444444444444,0.47058823529411764,0.45714285714285713,34.0
LLM Results Evaluation,0.42857142857142855,0.23076923076923078,0.3,13.0
Modular LLM Agent Architectures,0.45,0.45,0.45,20.0
Retrieval Augmented Generation(RAG) Optimization for LLMs,0.5238095238095238,0.55,0.5365853658536586,20.0
Classical Models,0.6226415094339622,0.7021276595744681,0.66,47.0
Tool Use for LLMs,0.47619047619047616,0.37037037037037035,0.4166666666666667,27.0
LLM based Multimodal Generative Prompting,0.6,0.5769230769230769,0.5882352941176471,26.0
micro avg,0.5255102040816326,0.5073891625615764,0.5162907268170426,203.0
macro avg,0.500899480498537,0.465722321616408,0.4778029109036382,203.0
weighted avg,0.5185450213984464,0.5073891625615764,0.5091594668086777,203.0
