,precision,recall,f1-score,support
Model Abstraction Pattern,0.4375,0.4375,0.4375,16.0
Preprocessing Text and Numerical Data,0.40540540540540543,0.4411764705882353,0.4225352112676056,34.0
LLM Results Evaluation,0.5,0.23076923076923078,0.3157894736842105,13.0
Modular LLM Agent Architectures,0.5294117647058824,0.45,0.4864864864864865,20.0
Retrieval Augmented Generation(RAG) Optimization for LLMs,0.5555555555555556,0.5,0.5263157894736842,20.0
Classical Models,0.6078431372549019,0.6595744680851063,0.6326530612244898,47.0
Tool Use for LLMs,0.4166666666666667,0.37037037037037035,0.39215686274509803,27.0
LLM based Multimodal Generative Prompting,0.4827586206896552,0.5384615384615384,0.509090909090909,26.0
micro avg,0.5,0.4876847290640394,0.4937655860349127,203.0
macro avg,0.4918926437847584,0.4534815097843102,0.46531597424656046,203.0
weighted avg,0.4992782353592313,0.4876847290640394,0.4890975303853648,203.0
