,precision,recall,f1-score,support
Model Abstraction Pattern,0.4,0.375,0.3870967741935484,16.0
Preprocessing Text and Numerical Data,0.39473684210526316,0.4411764705882353,0.4166666666666667,34.0
LLM Results Evaluation,0.6,0.23076923076923078,0.3333333333333333,13.0
Modular LLM Agent Architectures,0.42105263157894735,0.4,0.41025641025641024,20.0
Retrieval Augmented Generation(RAG) Optimization for LLMs,0.4117647058823529,0.35,0.3783783783783784,20.0
Classical Models,0.6078431372549019,0.6595744680851063,0.6326530612244898,47.0
Tool Use for LLMs,0.36,0.3333333333333333,0.34615384615384615,27.0
LLM based Multimodal Generative Prompting,0.5333333333333333,0.6153846153846154,0.5714285714285714,26.0
micro avg,0.475,0.46798029556650245,0.47146401985111663,203.0
macro avg,0.4660913312693499,0.42565476477006514,0.43449588020440555,203.0
weighted avg,0.47503789900715276,0.46798029556650245,0.4650454913332033,203.0
